,"Group name","Comm. Other (t/km²/year)","Comm. Demersal (t/km²/year)","Comm. Nets (t/km²/year)","Comm. Beam (t/km²/year)","Comm. Shrimp (t/km²/year)","Comm. Pelagic (t/km²/year)","Comm. Pots (t/km²/year)","Comm. Hooks (t/km²/year)","Comm. Dredge (t/km²/year)","Aquaculture (blue mussels) (t/km²/year)","Recr. Anglers (boat) (t/km²/year)","Recr. Trawlers (t/km²/year)","Recr. Anglers (land) (t/km²/year)","Recr. Nets (t/km²/year)","Recr. Others (t/km²/year)","TotalCatch (t/km²/year)",
36,"Infaunal macrobenthos",0,2.64E-06,0,3.49E-05,2.28E-06,0,0.044,0,0.733,0,0,0,0,0,0,0.7770398,
37,Crangon,0,0.00298,0,8.59E-06,0.121,0,0.000167,0,0,0,0,0.01546715,0.0001264035,0,0.005354121,0.1451033,
38,"Small mobile epifauna (swarming crustaceans)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,"Small infauna (polychaetes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,"Sessile epifauna",0,0,0,0,0,0,0,0,0.0494,0,0,0,0,0,0,0.0494,
41,Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Total catch",9.53312E-05,1.371841,0.05097405,2.409689,0.1613152,0.3024544,0.06978864,0.02496828,0.7825934,1E-11,0.04122206,0.01572302,0.007960255,0.0009836082,0.006699552,5.246308,
,"Trophic level",3.101944,3.847278,4.09068,3.769712,3.267612,3.450539,2.852505,4.4012,2.389709,2.01,3.874717,3.136342,4.021927,4.01098,3.245118,3.54346,
